id,description,title,repin_count,text
188658671886283586,"Our favorite compromise between edgy and cozy? The forever chic combination of dark leather and light shearling. With this wool-trimmed jacket, Sacai knows how to make you look cool without leaving you out in the cold, making it the ideal piece to throw on when you're wanting something stylish but still on the casual side.",Here Are the Winter Coats You Need to Stay Chic During The Season,3,"here are the winter coats you need to stay chic during the season our favorite compromise between edgy and cozy? the forever chic combination of dark leather and light shearling. with this wool-trimmed jacket, sacai knows how to make you look cool without leaving you out in the cold, making it the ideal piece to throw on when you're wanting something stylish but still on the casual side."
188658671886280746,"Layer up with multiple sweaters to keep yourself warm this winter. Our knitwear is our most treasured section in our closet this season, and we're always on the look out to add more stunning and cozy pieces. Shop for new winter sweaters here from brands Area, Blumarine, Saint Laurent, Sablyn, and more.",Refresh Your Winter Knits Here,4,"refresh your winter knits here layer up with multiple sweaters to keep yourself warm this winter. our knitwear is our most treasured section in our closet this season, and we're always on the look out to add more stunning and cozy pieces. shop for new winter sweaters here from brands area, blumarine, saint laurent, sablyn, and more."
188658671886279710,"A simple, feel-good outfit is the perfect look to step out for errands in, and Sofia Richie is chic and effortless in this denim and sweater combo.",Sofia Richie Steps Out In A Casual Fall Look,4,"sofia richie steps out in a casual fall look a simple, feel-good outfit is the perfect look to step out for errands in, and sofia richie is chic and effortless in this denim and sweater combo."
188658671886279034,"A chic jacket can elevate any fall look, whether it's a monochromatic outfit or a maximalist dream. Don't let your coat swallow you this season: find yourself a piece that adds to your aesthetic with our edit of designer coats and luxe jackets. Shop brands like The Great., Saint Laurent, Altuzarra, and more.",Find A Jacket That Adds To Your Look With Our Collection Of Designer Coats & Luxe Blazers,2,"find a jacket that adds to your look with our collection of designer coats & luxe blazers a chic jacket can elevate any fall look, whether it's a monochromatic outfit or a maximalist dream. don't let your coat swallow you this season: find yourself a piece that adds to your aesthetic with our edit of designer coats and luxe jackets. shop brands like the great., saint laurent, altuzarra, and more."
188658671886277299,"As a chic and cool person, you should be dressing the part this winter with our new arrivals. From leather tote bags to stiletto boots to oversized blazers, we have everything you need to create an elevated winter outfit.",You Need To Check Out Our New Arrivals For An Elevated Wardrobe,6,"you need to check out our new arrivals for an elevated wardrobe as a chic and cool person, you should be dressing the part this winter with our new arrivals. from leather tote bags to stiletto boots to oversized blazers, we have everything you need to create an elevated winter outfit."
188658671886276441,Quinta Brunson is stunning in this mint gown at the LACMA Gala—the black opera gloves matching the black sash tied around her waist? Obsessed!,We're In Love With This Mint Green Gown Quinta Brunson Wore To The LACMA Gala,1,we're in love with this mint green gown quinta brunson wore to the lacma gala quinta brunson is stunning in this mint gown at the lacma gala—the black opera gloves matching the black sash tied around her waist? obsessed!
47639708548464356,,Gardens | Making use of your garden room...,0,gardens | making use of your garden room...
47639708548418971,Camping in style,Glamping,36,glamping camping in style
188658671886275631,Gabrielle Union knows how to keep it lively even in the cold weather with this colorful ensemble. Her striped dress and striking green heels really make her hard to miss—and we don't want to miss her!,Gabrielle Union Is Vibrant In This Chic Striped Dress,1,gabrielle union is vibrant in this chic striped dress gabrielle union knows how to keep it lively even in the cold weather with this colorful ensemble. her striped dress and striking green heels really make her hard to miss—and we don't want to miss her!
188658671886273735,"If you're looking for trendy accessories that will also keep you warm and cozy, check out our edit of luxe scarves, knit hats, elbow-length gloves, and more.",Accessorize This Winter With Only The Most Chic Pieces,5,"accessorize this winter with only the most chic pieces if you're looking for trendy accessories that will also keep you warm and cozy, check out our edit of luxe scarves, knit hats, elbow-length gloves, and more."
